"","COUNTRY","GDP..BILLIONS.","CODE"
"1","Afghanistan",21.71,"AFG"
"2","Albania",13.4,"ALB"
"3","Algeria",227.8,"DZA"
"4","American Samoa",0.75,"ASM"
"5","Andorra",4.8,"AND"
"6","Angola",131.4,"AGO"
"7","Anguilla",0.18,"AIA"
"8","Antigua and Barbuda",1.24,"ATG"
"9","Argentina",536.2,"ARG"
"10","Armenia",10.88,"ARM"
"11","Aruba",2.52,"ABW"
"12","Australia",1483,"AUS"
"13","Austria",436.1,"AUT"
"14","Azerbaijan",77.91,"AZE"
"15","Bahamas, The",8.65,"BHM"
"16","Bahrain",34.05,"BHR"
"17","Bangladesh",186.6,"BGD"
"18","Barbados",4.28,"BRB"
"19","Belarus",75.25,"BLR"
"20","Belgium",527.8,"BEL"
"21","Belize",1.67,"BLZ"
"22","Benin",9.24,"BEN"
"23","Bermuda",5.2,"BMU"
"24","Bhutan",2.09,"BTN"
"25","Bolivia",34.08,"BOL"
"26","Bosnia and Herzegovina",19.55,"BIH"
"27","Botswana",16.3,"BWA"
"28","Brazil",2244,"BRA"
"29","British Virgin Islands",1.1,"VGB"
"30","Brunei",17.43,"BRN"
"31","Bulgaria",55.08,"BGR"
"32","Burkina Faso",13.38,"BFA"
"33","Burma",65.29,"MMR"
"34","Burundi",3.04,"BDI"
"35","Cabo Verde",1.98,"CPV"
"36","Cambodia",16.9,"KHM"
"37","Cameroon",32.16,"CMR"
"38","Canada",1794,"CAN"
"39","Cayman Islands",2.25,"CYM"
"40","Central African Republic",1.73,"CAF"
"41","Chad",15.84,"TCD"
"42","Chile",264.1,"CHL"
"43","China",10360,"CHN"
"44","Colombia",400.1,"COL"
"45","Comoros",0.72,"COM"
"46","Congo, Democratic Republic of the",32.67,"COD"
"47","Congo, Republic of the",14.11,"COG"
"48","Cook Islands",0.18,"COK"
"49","Costa Rica",50.46,"CRI"
"50","Cote d'Ivoire",33.96,"CIV"
"51","Croatia",57.18,"HRV"
"52","Cuba",77.15,"CUB"
"53","Curacao",5.6,"CUW"
"54","Cyprus",21.34,"CYP"
"55","Czech Republic",205.6,"CZE"
"56","Denmark",347.2,"DNK"
"57","Djibouti",1.58,"DJI"
"58","Dominica",0.51,"DMA"
"59","Dominican Republic",64.05,"DOM"
"60","Ecuador",100.5,"ECU"
"61","Egypt",284.9,"EGY"
"62","El Salvador",25.14,"SLV"
"63","Equatorial Guinea",15.4,"GNQ"
"64","Eritrea",3.87,"ERI"
"65","Estonia",26.36,"EST"
"66","Ethiopia",49.86,"ETH"
"67","Falkland Islands (Islas Malvinas)",0.16,"FLK"
"68","Faroe Islands",2.32,"FRO"
"69","Fiji",4.17,"FJI"
"70","Finland",276.3,"FIN"
"71","France",2902,"FRA"
"72","French Polynesia",7.15,"PYF"
"73","Gabon",20.68,"GAB"
"74","Gambia, The",0.92,"GMB"
"75","Georgia",16.13,"GEO"
"76","Germany",3820,"DEU"
"77","Ghana",35.48,"GHA"
"78","Gibraltar",1.85,"GIB"
"79","Greece",246.4,"GRC"
"80","Greenland",2.16,"GRL"
"81","Grenada",0.84,"GRD"
"82","Guam",4.6,"GUM"
"83","Guatemala",58.3,"GTM"
"84","Guernsey",2.74,"GGY"
"85","Guinea-Bissau",1.04,"GNB"
"86","Guinea",6.77,"GIN"
"87","Guyana",3.14,"GUY"
"88","Haiti",8.92,"HTI"
"89","Honduras",19.37,"HND"
"90","Hong Kong",292.7,"HKG"
"91","Hungary",129.7,"HUN"
"92","Iceland",16.2,"ISL"
"93","India",2048,"IND"
"94","Indonesia",856.1,"IDN"
"95","Iran",402.7,"IRN"
"96","Iraq",232.2,"IRQ"
"97","Ireland",245.8,"IRL"
"98","Isle of Man",4.08,"IMN"
"99","Israel",305,"ISR"
